Week,Post #,Day,Theme,Format,Content Preview,Scheduled Date,Status,Post URL,Impressions,Profile Visits,Link Clicks,Replies,Retweets,Likes,Follower Change,Notes
1,1,Monday,Coach Burnout,Hook,"Avg youth coach spends more time on admin than practice planning...",2026-05-04,Draft,,,,,,,,,"Week 1: Coach Burnout Theme"
1,2,Wednesday,Coach Burnout,Insight,"The substitution tax: hidden cost that burns out coaches...",2026-05-06,Draft,,,,,,,,,
1,3,Friday,Coach Burnout,Story,"Coaching my daughter's U12 team, parent asked 'how much has #7 played?'...",2026-05-08,Draft,,,,,,,,,
1,4,Sunday,Coach Burnout,Engagement Bait,"Youth coaches: what's the one courtside task that pulls your focus away?...",2026-05-10,Draft,,,,,,,,,
2,5,Monday,Playing Time,Thread,"The hardest conversation: answering 'how much has my kid played?'...",2026-05-11,Draft,,,,,,,,,,"Week 2: Playing Time Fairness Theme"
2,6,Wednesday,Playing Time,Hot Take,"Hot take: if you're coaching youth BB and not tracking court time, you're coaching blind...",2026-05-13,Draft,,,,,,,,,
2,7,Friday,Playing Time,Practical Tip,"Best rotation tip: plan your first sub at 4-minute mark of Q1...",2026-05-15,Draft,,,,,,,,,
2,8,Sunday,Playing Time,Observation,"Watching NBA playoffs — same conversation at every level...",2026-05-17,Draft,,,,,,,,,
3,9,Monday,Simplicity,Thread,"Youth coaches drowning in apps. TeamSnap, GameChanger, WhatsApp, Venmo...",2026-05-18,Draft,,,,,,,,,,"Week 3: Simplicity & Anti-Complexity"
3,10,Wednesday,Simplicity,Data Point,"62% of volunteer coaches spend 6+ hours/week on admin...",2026-05-20,Draft,,,,,,,,,
3,11,Friday,Simplicity,Product Tease,"This is what substitution tracking looks like when it's simple: [screenshot]...",2026-05-22,Draft,,,,,,,,,
3,12,Sunday,Simplicity,Coach Empathy,"To every volunteer youth coach: nobody trains you for the admin...",2026-05-24,Draft,,,,,,,,,
4,13,Monday,Authority,Thread,"3 rotation mistakes that happen in almost every game...",2026-05-25,Draft,,,,,,,,,,"Week 4: Authority & Thought Leadership"
4,14,Wednesday,Authority,Industry Commentary,"Youth sports tech raised $355M last year. Most requested feature?...",2026-05-27,Draft,,,,,,,,,
4,15,Friday,Authority,Practical Framework,"My courtside priority framework: 1. Safety 2. Development 3. Fair rotation...",2026-05-29,Draft,,,,,,,,,
4,16,Sunday,Authority,Community Question,"What moment made you realize you needed a better system?...",2026-05-31,Draft,,,,,,,,,
,,,Engagement,,Target: 10 coaching accounts/week (comments + quote-tweets),,,Draft,,,,,,,,
,,,Weekly Totals,,Followers: +100 | Link Clicks: 50+ | Impressions: 500+/post,,,,,,,,,,
